transaction_id,amount,status,failure_reason,payment_method,attempt_count,customer_history,timestamp
TX0066,5322,success,none,NetBanking,1,returning,2026-08-21 23:28:26.459379
TX0067,9510,success,none,Wallet,1,returning,2026-08-21 00:18:26.459389
TX0068,3407,success,none,NetBanking,1,frequent,2026-08-19 15:35:26.459399
TX0069,1396,success,none,NetBanking,1,returning,2026-08-25 13:52:26.459408
TX0070,555,success,none,NetBanking,1,frequent,2026-08-25 06:24:26.459417
TX0071,3752,success,none,NetBanking,1,frequent,2026-08-24 17:25:26.459427
TX0072,7214,failed,insufficient_funds,UPI,2,new,2026-08-24 00:54:26.459439
TX0073,8792,failed,insufficient_funds,Wallet,1,frequent,2026-08-24 04:49:26.459454
TX0074,814,success,none,Wallet,1,new,2026-08-22 05:29:26.459465
TX0075,827,success,none,UPI,1,frequent,2026-08-20 22:25:26.459475
TX0076,2611,failed,network_error,NetBanking,1,frequent,2026-08-20 22:45:26.459489
TX0077,9604,success,none,NetBanking,1,frequent,2026-08-21 14:41:26.459501
TX0078,8395,success,none,NetBanking,1,frequent,2026-08-23 01:07:26.459513
TX0079,8377,success,none,UPI,1,new,2026-08-21 20:51:26.459524
TX0080,3993,success,none,UPI,1,new,2026-08-25 18:21:26.459536
TX0081,8043,failed,insufficient_funds,UPI,3,returning,2026-08-20 10:53:26.459549
TX0082,5884,success,none,NetBanking,1,new,2026-08-19 02:41:26.459562
TX0083,3457,failed,timeout,UPI,3,frequent,2026-08-24 17:03:26.459574
TX0084,6736,success,none,NetBanking,1,returning,2026-08-19 00:33:26.459586
TX0085,6804,success,none,Wallet,1,new,2026-08-19 10:07:26.459597
TX0086,7887,success,none,Card,1,returning,2026-08-21 03:26:26.459608
TX0087,7890,success,none,Card,1,frequent,2026-08-25 01:18:26.459620
TX0088,4227,success,none,Card,1,returning,2026-08-23 17:56:26.459631
TX0089,6620,success,none,Card,1,frequent,2026-08-20 18:12:26.459645
TX0090,689,failed,bank_error,UPI,2,new,2026-08-21 01:14:26.459658
TX0091,5918,success,none,UPI,1,new,2026-08-19 11:29:26.459672
TX0092,2521,success,none,UPI,1,new,2026-08-23 14:16:26.459687
TX0093,3561,success,none,NetBanking,1,new,2026-08-25 16:49:26.459698
TX0094,1169,success,none,Wallet,1,frequent,2026-08-20 13:06:26.459709
TX0095,2733,success,none,UPI,1,frequent,2026-08-25 00:26:26.459720
TX0096,7777,success,none,Card,1,returning,2026-08-22 12:09:26.459731
TX0097,5012,failed,network_error,Card,2,new,2026-08-19 09:22:26.459744
TX0098,7005,success,none,NetBanking,1,frequent,2026-08-23 09:15:26.459755
TX0099,8543,success,none,NetBanking,1,frequent,2026-08-23 20:56:26.459767
TX0100,534,success,none,Card,1,frequent,2026-08-23 07:01:26.459776
TX0101,518,success,none,Card,1,new,2026-08-22 01:09:26.459785
TX0102,4554,failed,insufficient_funds,UPI,3,returning,2026-08-21 12:02:26.459796
TX0103,8646,success,none,Card,1,returning,2026-08-24 17:50:26.459807
TX0104,6247,failed,insufficient_funds,Card,1,returning,2026-08-20 07:18:26.459817
TX0105,8315,success,none,UPI,1,frequent,2026-08-25 11:36:26.459827
TX0106,2515,success,none,Card,1,new,2026-08-21 21:20:26.459836
TX0107,5293,success,none,Wallet,1,returning,2026-08-19 12:12:26.459844
TX0108,7697,success,none,NetBanking,1,frequent,2026-08-24 07:00:26.459854
TX0109,6833,success,none,UPI,1,new,2026-08-25 16:33:26.459887
TX0110,9571,success,none,Card,1,frequent,2026-08-19 00:14:26.459899
TX0111,667,failed,network_error,UPI,2,frequent,2026-08-24 07:44:26.459909
TX0112,4884,success,none,Card,1,frequent,2026-08-24 16:55:26.459921
TX0113,2669,success,none,UPI,1,new,2026-08-25 05:54:26.459931
TX0114,7261,failed,bank_error,Card,1,new,2026-08-21 19:48:26.459942
TX0115,2672,success,none,Wallet,1,frequent,2026-08-20 16:11:26.459951
TX0116,5233,success,none,Wallet,1,new,2026-08-20 05:44:26.459960
TX0117,7524,success,none,Card,1,frequent,2026-08-25 12:00:26.459969
TX0118,9482,failed,timeout,NetBanking,3,returning,2026-08-20 06:10:26.459979
TX0119,5053,success,none,UPI,1,returning,2026-08-19 06:49:26.459988
TX0120,6401,success,none,Card,1,returning,2026-08-19 16:52:26.459997
TX0121,1346,success,none,Wallet,1,returning,2026-08-23 06:22:26.460006
TX0122,5559,success,none,Wallet,1,new,2026-08-21 07:24:26.460015
TX0123,9582,success,none,UPI,1,frequent,2026-08-20 06:14:26.460024
TX0124,5143,success,none,Wallet,1,new,2026-08-23 21:53:26.460034
TX0125,8235,success,none,UPI,1,returning,2026-08-20 10:54:26.460043
TX0126,7570,failed,timeout,UPI,3,new,2026-08-21 09:35:26.460056
TX0127,2671,success,none,NetBanking,1,new,2026-08-23 23:08:26.460065
TX0128,1468,success,none,NetBanking,1,returning,2026-08-25 17:10:26.460075
TX0129,6782,failed,timeout,UPI,2,returning,2026-08-25 21:57:26.460085
TX0130,6069,success,none,UPI,1,frequent,2026-08-25 09:38:26.460097
TX0131,5635,success,none,NetBanking,1,frequent,2026-08-19 16:32:26.460109
TX0132,4469,failed,insufficient_funds,UPI,2,returning,2026-08-23 06:02:26.460120
TX0133,3622,success,none,Wallet,1,returning,2026-08-19 15:07:26.460131
TX0134,5083,success,none,Card,1,new,2026-08-23 04:58:26.460144
TX0135,6275,success,none,NetBanking,1,new,2026-08-23 15:26:26.460153
TX0136,6506,success,none,Wallet,1,returning,2026-08-25 07:25:26.460161
TX0137,3122,success,none,Wallet,1,new,2026-08-22 18:15:26.460170
TX0138,1143,failed,insufficient_funds,NetBanking,3,returning,2026-08-24 20:15:26.460181
TX0139,1518,success,none,Card,1,returning,2026-08-21 09:27:26.460190
TX0140,1152,success,none,Card,1,frequent,2026-08-22 11:23:26.460198
TX0141,6550,success,none,Card,1,frequent,2026-08-24 02:43:26.460208
TX0142,8426,success,none,UPI,1,frequent,2026-08-23 13:37:26.460217
TX0143,2247,success,none,Wallet,1,frequent,2026-08-23 08:02:26.460225
TX0144,1250,success,none,Card,1,new,2026-08-21 02:57:26.460234
TX0145,9277,success,none,Card,1,frequent,2026-08-25 18:19:26.460242
TX0146,7026,success,none,UPI,1,returning,2026-08-24 00:31:26.460251
TX0147,378,success,none,UPI,1,new,2026-08-24 11:43:26.460260
TX0148,3594,failed,bank_error,UPI,1,returning,2026-08-25 02:03:26.460270
TX0149,9896,success,none,Card,1,new,2026-08-19 16:09:26.460281
TX0150,6734,success,none,UPI,1,returning,2026-08-25 10:02:26.460291
TX0151,2159,success,none,Card,1,frequent,2026-08-23 12:06:26.460302
TX0152,7473,success,none,NetBanking,1,returning,2026-08-20 06:00:26.460312
TX0153,1482,success,none,NetBanking,1,new,2026-08-23 14:52:26.460324
TX0154,9268,success,none,Wallet,1,returning,2026-08-21 06:19:26.460334
TX0155,970,success,none,Wallet,1,new,2026-08-22 03:32:26.460342
TX0156,8467,success,none,NetBanking,1,frequent,2026-08-25 17:22:26.460351
TX0157,1612,success,none,UPI,1,returning,2026-08-24 21:00:26.460360
TX0158,9742,success,none,Wallet,1,new,2026-08-22 03:17:26.460369
TX0159,5245,success,none,Card,1,new,2026-08-25 19:37:26.460377
TX0160,5086,success,none,UPI,1,frequent,2026-08-23 09:09:26.460386
TX0161,6684,success,none,Wallet,1,frequent,2026-08-19 21:59:26.460396
TX0162,8954,success,none,UPI,1,returning,2026-08-25 05:49:26.460405
TX0163,3520,success,none,Card,1,frequent,2026-08-25 06:56:26.460414
TX0164,9211,failed,timeout,Wallet,2,returning,2026-08-24 01:54:26.460424
TX0165,8592,success,none,Card,1,new,2026-08-21 07:34:26.460433
TX0166,5908,failed,network_error,NetBanking,1,frequent,2026-08-24 05:36:26.460444
TX0167,9262,success,none,Wallet,1,new,2026-08-22 20:33:26.460453
TX0168,250,success,none,Wallet,1,frequent,2026-08-19 20:19:26.460462
TX0169,204,failed,bank_error,Card,2,returning,2026-08-24 05:56:26.460473
TX0170,7473,success,none,NetBanking,1,new,2026-08-24 13:45:26.460485
TX0171,9213,success,none,Card,1,returning,2026-08-25 12:47:26.460494
TX0172,9038,failed,bank_error,Wallet,2,new,2026-08-25 07:27:26.460504
TX0173,1737,success,none,Card,1,frequent,2026-08-22 04:05:26.460513
TX0174,7987,success,none,NetBanking,1,returning,2026-08-24 16:47:26.460524
TX0175,1014,success,none,Card,1,returning,2026-08-20 03:07:26.460533
TX0176,5904,success,none,NetBanking,1,new,2026-08-25 16:11:26.460545
TX0177,9753,failed,insufficient_funds,Wallet,1,returning,2026-08-21 15:44:26.460556
TX0178,3796,success,none,UPI,1,returning,2026-08-24 06:56:26.460565
TX0179,4376,success,none,UPI,1,returning,2026-08-25 03:15:26.460574
TX0180,1186,failed,timeout,UPI,1,returning,2026-08-22 12:19:26.460584
TX0181,3838,success,none,NetBanking,1,new,2026-08-20 01:02:26.460594
TX0182,5063,success,none,UPI,1,frequent,2026-08-20 05:57:26.460602
TX0183,5452,success,none,UPI,1,new,2026-08-19 03:04:26.460611
TX0184,7207,failed,network_error,Card,2,returning,2026-08-25 19:41:26.460622
TX0185,7452,success,none,Card,1,frequent,2026-08-21 07:39:26.460632
TX0186,2403,success,none,Wallet,1,returning,2026-08-23 06:52:26.460641
TX0187,674,success,none,Card,1,new,2026-08-24 11:44:26.460650
TX0188,5575,success,none,Wallet,1,returning,2026-08-24 15:54:26.460659
TX0189,9631,failed,timeout,Wallet,1,new,2026-08-19 04:26:26.460669
TX0190,2877,failed,bank_error,UPI,2,returning,2026-08-21 16:23:26.460686
TX0191,1266,success,none,Card,1,new,2026-08-23 05:19:26.460693
TX0192,3980,success,none,UPI,1,new,2026-08-24 04:51:26.460702
TX0193,5492,success,none,NetBanking,1,frequent,2026-08-23 11:12:26.460710
TX0194,1528,success,none,Card,1,frequent,2026-08-22 19:09:26.460717
TX0195,5815,success,none,UPI,1,frequent,2026-08-19 13:55:26.460726
TX0196,1578,success,none,UPI,1,new,2026-08-21 11:17:26.460733
TX0197,1224,success,none,NetBanking,1,returning,2026-08-23 22:57:26.460741
TX0198,9547,failed,timeout,NetBanking,2,new,2026-08-22 13:15:26.460750
TX0199,1654,success,none,UPI,1,returning,2026-08-24 02:43:26.460757
TX0200,8909,success,none,UPI,1,returning,2026-08-24 02:40:26.460765
TX0201,5658,success,none,Card,1,returning,2026-08-23 16:45:26.460773
TX0202,8293,failed,timeout,Card,2,frequent,2026-08-23 05:00:26.460783
TX0203,7026,success,none,Card,1,returning,2026-08-24 05:14:26.460791
TX0204,8192,failed,insufficient_funds,UPI,1,frequent,2026-08-22 19:55:26.460800
TX0205,3326,success,none,NetBanking,1,returning,2026-08-19 06:33:26.460808
TX0206,458,success,none,Wallet,1,returning,2026-08-25 08:11:26.460816
TX0207,8855,failed,timeout,NetBanking,3,returning,2026-08-22 05:34:26.460825
TX0208,5308,failed,network_error,Card,2,frequent,2026-08-23 09:09:26.460835
TX0209,3073,success,none,Card,1,new,2026-08-19 10:08:26.460845
TX0210,3959,success,none,NetBanking,1,new,2026-08-24 12:14:26.460853
TX0211,2524,failed,network_error,Wallet,1,frequent,2026-08-24 09:52:26.460863
TX0212,9438,failed,timeout,Wallet,2,frequent,2026-08-25 09:28:26.460873
TX0213,6606,success,none,NetBanking,1,returning,2026-08-23 03:37:26.460882
TX0214,1732,failed,insufficient_funds,Wallet,3,frequent,2026-08-20 06:44:26.460891
TX0215,5755,success,none,Card,1,new,2026-08-19 11:17:26.460899
TX0216,3015,failed,insufficient_funds,UPI,1,frequent,2026-08-19 01:22:26.460909
TX0217,1529,success,none,NetBanking,1,frequent,2026-08-23 22:45:26.460918
TX0218,3798,success,none,Wallet,1,new,2026-08-19 17:20:26.460928
TX0219,5372,success,none,Card,1,frequent,2026-08-25 15:10:26.460935
TX0220,6285,success,none,Card,1,returning,2026-08-25 18:03:26.460943
TX0221,8416,success,none,NetBanking,1,frequent,2026-08-25 13:14:26.460951
TX0222,2595,success,none,Wallet,1,new,2026-08-19 23:09:26.460959
TX0223,3196,success,none,NetBanking,1,frequent,2026-08-23 21:39:26.460967
TX0224,7522,success,none,Wallet,1,new,2026-08-21 03:25:26.460974
TX0225,882,success,none,UPI,1,frequent,2026-08-19 19:56:26.460983
TX0226,6744,success,none,Wallet,1,frequent,2026-08-25 18:30:26.460990
TX0227,2045,failed,bank_error,NetBanking,3,new,2026-08-20 16:11:26.460999
TX0228,6765,failed,timeout,NetBanking,2,returning,2026-08-22 01:26:26.461009
TX0229,3096,success,none,Wallet,1,returning,2026-08-24 22:23:26.461019
TX0230,1544,failed,timeout,NetBanking,2,frequent,2026-08-25 16:25:26.461028
TX0231,795,failed,network_error,Wallet,2,new,2026-08-25 02:42:26.461037
TX0232,7988,failed,bank_error,Wallet,2,frequent,2026-08-21 16:16:26.461046
TX0233,933,success,none,NetBanking,1,frequent,2026-08-20 22:23:26.461053
TX0234,3516,failed,bank_error,Card,2,new,2026-08-24 23:49:26.461064
TX0235,4421,success,none,Card,1,frequent,2026-08-21 12:29:26.461071
TX0236,1279,failed,network_error,UPI,1,new,2026-08-20 11:47:26.461080
TX0237,6745,success,none,Card,1,frequent,2026-08-23 13:31:26.461088
TX0238,2208,failed,network_error,NetBanking,2,frequent,2026-08-24 22:45:26.461097
TX0239,4808,success,none,Card,1,new,2026-08-21 03:43:26.461105
TX0240,8459,success,none,UPI,1,new,2026-08-20 12:20:26.461112
TX0241,1669,failed,insufficient_funds,Card,1,new,2026-08-25 13:15:26.461121
TX0242,5426,failed,insufficient_funds,UPI,3,returning,2026-08-25 13:59:26.461130
TX0243,6092,failed,bank_error,NetBanking,1,frequent,2026-08-21 00:54:26.461139
TX0244,4944,success,none,Card,1,returning,2026-08-23 00:24:26.461146
TX0245,5028,failed,network_error,UPI,3,returning,2026-08-23 15:37:26.461156
TX0246,9165,failed,network_error,UPI,2,new,2026-08-22 20:25:26.461165
TX0247,1827,success,none,Card,1,returning,2026-08-22 13:04:26.461173
TX0248,5496,failed,timeout,Wallet,2,frequent,2026-08-21 11:42:26.461185
TX0249,6080,success,none,Wallet,1,frequent,2026-08-22 13:24:26.461193
TX0250,463,success,none,UPI,1,new,2026-08-21 05:18:26.461201
TX0251,6149,success,none,Card,1,returning,2026-08-23 09:00:26.461210
TX0252,7679,success,none,NetBanking,1,returning,2026-08-24 15:28:26.461218
TX0253,9165,success,none,UPI,1,returning,2026-08-24 13:33:26.461226
TX0254,9559,success,none,Wallet,1,new,2026-08-21 18:30:26.461233
TX0255,884,success,none,Wallet,1,new,2026-08-24 17:06:26.461242
TX0256,4288,success,none,NetBanking,1,new,2026-08-25 01:00:26.461253
TX0257,8147,success,none,NetBanking,1,returning,2026-08-25 02:40:26.461262
TX0258,9000,failed,bank_error,NetBanking,1,returning,2026-08-25 01:38:26.461272
TX0259,6237,success,none,Card,1,frequent,2026-08-24 20:46:26.461281
TX0260,8100,failed,bank_error,NetBanking,2,returning,2026-08-23 13:34:26.461290
TX0261,9509,failed,timeout,NetBanking,1,new,2026-08-21 20:54:26.461302
TX0262,1283,success,none,Card,1,returning,2026-08-25 08:29:26.461311
TX0263,6237,success,none,NetBanking,1,new,2026-08-23 08:22:26.461319
TX0264,5246,success,none,UPI,1,new,2026-08-25 17:16:26.461327
TX0265,6642,success,none,Card,1,frequent,2026-08-23 15:28:26.461336
TX0266,5331,success,none,Wallet,1,frequent,2026-08-21 18:34:26.461344
TX0267,7180,success,none,NetBanking,1,frequent,2026-08-22 10:07:26.461353
TX0268,8059,success,none,NetBanking,1,frequent,2026-08-23 02:51:26.461363
TX0269,2779,success,none,NetBanking,1,new,2026-08-25 01:50:26.461371
TX0270,9124,success,none,NetBanking,1,new,2026-08-24 19:31:26.461381
TX0271,577,success,none,Wallet,1,new,2026-08-25 12:11:26.461389
TX0272,5351,success,none,UPI,1,new,2026-08-19 09:14:26.461398
TX0273,8163,failed,timeout,Card,2,new,2026-08-23 16:17:26.461407
TX0274,5938,failed,bank_error,NetBanking,2,new,2026-08-21 10:18:26.461417
TX0275,5848,success,none,Card,1,new,2026-08-23 22:35:26.461425
TX0276,8893,success,none,NetBanking,1,new,2026-08-25 18:49:26.461434
TX0277,384,success,none,Card,1,returning,2026-08-25 06:23:26.461443
TX0278,3260,success,none,UPI,1,returning,2026-08-22 15:43:26.461451
TX0279,4487,success,none,Wallet,1,returning,2026-08-21 20:14:26.461460
TX0280,6831,failed,timeout,NetBanking,3,returning,2026-08-21 07:17:26.461472
TX0281,8458,failed,network_error,Card,1,frequent,2026-08-23 03:40:26.461483
TX0282,1067,success,none,NetBanking,1,returning,2026-08-25 17:05:26.461492
TX0283,5550,success,none,UPI,1,new,2026-08-25 16:46:26.461501
TX0284,3654,failed,bank_error,Wallet,2,frequent,2026-08-24 03:48:26.461510
TX0285,3813,success,none,UPI,1,frequent,2026-08-23 21:57:26.461518
TX0286,2853,success,none,Card,1,new,2026-08-19 13:44:26.461527
TX0287,8965,success,none,Card,1,new,2026-08-22 14:59:26.461537
TX0288,6969,success,none,UPI,1,frequent,2026-08-24 01:59:26.461546
TX0289,942,success,none,Wallet,1,returning,2026-08-22 04:12:26.461554
TX0290,2933,success,none,NetBanking,1,frequent,2026-08-21 16:12:26.461565
TX0291,7553,success,none,UPI,1,new,2026-08-19 15:05:26.461575
TX0292,1605,success,none,Card,1,new,2026-08-21 22:38:26.461585
TX0293,3752,failed,timeout,Card,3,returning,2026-08-21 09:09:26.461597
TX0294,2766,success,none,Card,1,frequent,2026-08-20 00:54:26.461607
TX0295,8354,success,none,UPI,1,frequent,2026-08-22 09:36:26.461617
TX0296,7608,failed,network_error,Wallet,1,returning,2026-08-24 10:48:26.461629
TX0297,888,success,none,UPI,1,returning,2026-08-22 04:28:26.461639
TX0298,3572,failed,insufficient_funds,UPI,1,frequent,2026-08-21 15:12:26.461650
TX0299,7746,success,none,Card,1,new,2026-08-24 23:57:26.461659
TX0300,6444,success,none,Wallet,1,frequent,2026-08-21 21:07:26.461668
TX0301,6892,failed,bank_error,Wallet,3,new,2026-08-24 08:18:26.461678
TX0302,264,success,none,Card,1,frequent,2026-08-24 08:33:26.461688
TX0303,6085,success,none,NetBanking,1,frequent,2026-08-20 11:20:26.461699
TX0304,8891,success,none,Card,1,new,2026-08-22 20:37:26.461712
TX0305,4836,success,none,NetBanking,1,returning,2026-08-21 17:31:26.461721
TX0306,1503,success,none,Wallet,1,new,2026-08-21 21:44:26.461731
TX0307,6962,success,none,UPI,1,new,2026-08-23 23:25:26.461743
TX0308,7174,success,none,Wallet,1,returning,2026-08-25 09:50:26.461753
TX0309,7430,success,none,NetBanking,1,new,2026-08-23 21:02:26.461763
TX0310,1366,failed,insufficient_funds,NetBanking,1,frequent,2026-08-25 01:32:26.461776
TX0311,9166,success,none,Card,1,new,2026-08-19 08:16:26.461785
TX0312,6697,success,none,Wallet,1,new,2026-08-24 10:44:26.461794
TX0313,1742,success,none,Wallet,1,new,2026-08-20 03:03:26.461804
TX0314,6101,success,none,UPI,1,new,2026-08-19 02:31:26.461814
TX0315,6054,failed,bank_error,Card,3,new,2026-08-23 03:09:26.461825
TX0316,2175,success,none,Card,1,new,2026-08-25 21:40:26.461835
TX0317,1617,success,none,UPI,1,new,2026-08-20 19:06:26.461844
TX0318,7406,success,none,UPI,1,returning,2026-08-23 17:37:26.461854
TX0319,874,success,none,Wallet,1,frequent,2026-08-23 18:49:26.461864
TX0320,5485,success,none,NetBanking,1,new,2026-08-22 05:55:26.461888
TX0321,4893,success,none,Card,1,frequent,2026-08-23 15:18:26.461898
TX0322,4182,success,none,Card,1,returning,2026-08-22 14:20:26.461907
TX0323,1294,failed,network_error,UPI,2,returning,2026-08-22 17:08:26.461916
TX0324,3819,success,none,UPI,1,frequent,2026-08-23 06:50:26.461926
TX0325,2035,success,none,Card,1,new,2026-08-21 19:26:26.461934
TX0326,388,success,none,NetBanking,1,frequent,2026-08-20 13:33:26.461946
TX0327,5998,failed,bank_error,NetBanking,2,returning,2026-08-22 20:24:26.461956
TX0328,4551,success,none,NetBanking,1,new,2026-08-20 02:23:26.461965
TX0329,276,success,none,NetBanking,1,frequent,2026-08-23 13:07:26.461973
TX0330,865,success,none,UPI,1,frequent,2026-08-21 11:33:26.461981
TX0331,9462,success,none,Wallet,1,frequent,2026-08-24 09:58:26.461990
TX0332,4005,success,none,NetBanking,1,frequent,2026-08-21 17:53:26.461998
TX0333,4495,success,none,Wallet,1,new,2026-08-20 04:43:26.462007
TX0334,7427,success,none,NetBanking,1,new,2026-08-21 15:03:26.462015
TX0335,5883,success,none,Wallet,1,frequent,2026-08-22 00:09:26.462023
TX0336,2473,failed,network_error,NetBanking,3,frequent,2026-08-22 16:26:26.462034
TX0337,4156,success,none,NetBanking,1,frequent,2026-08-25 14:16:26.462042
TX0338,6240,success,none,NetBanking,1,new,2026-08-25 16:37:26.462050
TX0339,2678,failed,network_error,Wallet,1,frequent,2026-08-21 16:59:26.462059
TX0340,7932,failed,network_error,Wallet,2,frequent,2026-08-24 07:56:26.462070
TX0341,1947,success,none,NetBanking,1,frequent,2026-08-19 04:16:26.462078
TX0342,6607,failed,bank_error,Card,2,new,2026-08-23 19:31:26.462088
TX0343,6279,success,none,Card,1,returning,2026-08-24 02:35:26.462097
TX0344,708,success,none,UPI,1,new,2026-08-19 08:21:26.462108
TX0345,2180,success,none,Wallet,1,frequent,2026-08-22 21:37:26.462117
TX0346,9682,success,none,NetBanking,1,frequent,2026-08-23 17:54:26.462147
TX0347,7616,success,none,Wallet,1,new,2026-08-21 01:29:26.462156
TX0348,9744,success,none,Card,1,frequent,2026-08-20 01:34:26.462165
TX0349,7360,success,none,Card,1,returning,2026-08-22 03:21:26.462173
TX0350,285,failed,bank_error,NetBanking,1,frequent,2026-08-24 13:59:26.462183
TX0351,5824,success,none,Card,1,frequent,2026-08-23 18:04:26.462191
TX0352,3931,success,none,Card,1,frequent,2026-08-23 16:15:26.462200
TX0353,7378,success,none,Wallet,1,frequent,2026-08-20 13:50:26.462208
TX0354,2047,failed,insufficient_funds,Wallet,1,returning,2026-08-22 21:34:26.462220
TX0355,9325,success,none,Card,1,returning,2026-08-19 16:19:26.462228
TX0356,396,success,none,UPI,1,new,2026-08-23 12:04:26.462237
TX0357,6124,success,none,Card,1,returning,2026-08-25 11:04:26.462246
TX0358,9465,success,none,Wallet,1,frequent,2026-08-20 16:52:26.462254
TX0359,2991,success,none,NetBanking,1,new,2026-08-24 09:38:26.462262
TX0360,4941,success,none,Wallet,1,returning,2026-08-20 22:16:26.462271
TX0361,2703,success,none,NetBanking,1,new,2026-08-22 14:33:26.462279
TX0362,8354,success,none,Wallet,1,new,2026-08-25 03:13:26.462288
